flow_uuid,route,time,hops,total_distance,total_reward,jump_1_reward,jump_2_reward,jump_3_reward,jump_4_reward,jump_5_reward,jump_6_reward,jump_7_reward,jump_8_reward,jump_9_reward
517673,152->133,10,2,7584.91,1.08333,0.08333,1.0,,,,,,,
920228,133->146,20,3,11283.71,1.16349,0.08016,0.08333,1.0,,,,,,
225614,133->152,20,2,7604.62,1.08333,0.08333,1.0,,,,,,,
598150,133->122,20,7,24817.3,1.46492,0.06484,0.08333,0.08333,0.08333,0.06675,0.08333,1.0,,
47441,122->146,20,4,13533.6,1.24369,0.07702,0.08333,0.08333,1.0,,,,,
719125,146->152,20,5,18888.33,1.31779,0.06904,0.08209,0.08333,0.08333,1.0,,,,
517673,152->133,20,2,7604.62,1.08333,0.08333,1.0,,,,,,,
920228,108->146,30,5,15091.09,1.33283,0.08333,0.08333,0.08333,0.08283,1.0,,,,
225614,108->152,30,2,6459.46,1.08333,0.08333,1.0,,,,,,,
598150,108->122,30,7,20965.81,1.47773,0.08333,0.08333,0.08333,0.08333,0.06106,0.08333,1.0,,
